file,population,expected,attributed,spread,R_mp3,R_aac,R_vorbis,R_opus,R_mp2
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,fake/aacmf_256,aac,vorbis,0.4216,4.3061,13.7684,2.4103,10.7203,2.8319
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,fake/aacmf_256,aac,vorbis,0.2697,3.6774,2.8364,0.7916,9.6922,1.0613
002-03-Hraach-Let-it-go.flac,fake/aacmf_256,aac,mp2,1.4488,3.5444,2.5152,3.9052,7.9006,1.0663
003-01-Thor-Dari-lullaby.flac,fake/aacmf_256,aac,mp2,0.4210,2.8351,1.0514,1.5241,10.4002,0.6304
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,fake/aacmf_256,aac,mp2,0.1698,2.7918,1.4037,0.4777,8.9610,0.3079
005-17-Los-Seven-Del-Swing-Celoso.flac,fake/aacmf_256,aac,mp2,1.3809,3.1661,1.9865,1.7602,7.8312,0.3792
006-09-Mahmoud-Ahmed-Tezeta.flac,fake/aacmf_256,aac,mp3,2.1351,2.2324,10.1770,4.3675,8.7044,4.9371
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,fake/aacmf_256,aac,mp2,0.6021,3.1520,1.6814,1.5068,8.5525,0.9047
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,fake/aacmf_256,aac,vorbis,0.5937,2.9695,2.4646,1.8639,7.0255,2.4576
009-03-Ilya-Beshevli-To-solitude.flac,fake/aacmf_256,aac,vorbis,0.9754,3.5926,4.8179,2.6172,4.9254,4.2659
010-06-Jon-Hassell-These-times.flac,fake/aacmf_256,aac,mp3,0.2301,3.6545,5.9433,3.9176,9.2117,3.8846
011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,fake/aacmf_256,aac,aac,0.5625,3.1414,2.2542,2.8843,5.3923,2.8167
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,fake/opus_256,opus,vorbis,0.2695,3.2036,15.2314,2.3403,2.6097,2.7222
001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,fake/opus_256,opus,mp2,0.3321,3.2331,1.6507,0.7612,3.5491,0.4291
002-03-Hraach-Let-it-go.flac,fake/opus_256,opus,mp2,0.7080,3.6857,1.7482,4.1859,2.4149,1.0402
003-01-Thor-Dari-lullaby.flac,fake/opus_256,opus,aac,0.6322,2.6999,-0.2563,1.6233,3.8234,0.3759
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,fake/opus_256,opus,mp2,0.1588,3.0471,0.7449,0.4253,3.5818,0.2665
005-17-Los-Seven-Del-Swing-Celoso.flac,fake/opus_256,opus,aac,0.5772,2.9361,-0.1815,1.8558,2.9046,0.3957
006-09-Mahmoud-Ahmed-Tezeta.flac,fake/opus_256,opus,opus,0.2532,1.9671,9.3235,3.9992,1.7139,4.8060
007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,fake/opus_256,opus,mp2,0.1521,2.5781,0.5218,1.0502,3.1032,0.3697
008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,fake/opus_256,opus,aac,0.8475,3.2560,1.5002,2.4711,2.3477,2.8709
