source,path_hash,ratio_kbd,ratio_vorbis,ratio_max
library,36064b4de3865407,1.1304,1.2375,1.2375
library,361b81ea82062996,1.1852,1.2118,1.2118
library,3620fedb0a91ad64,1.2048,1.2439,1.2439
library,3623ab5fc225dee7,1.2857,1.2147,1.2857
library,3740690ea728c1ad,1.2532,1.1871,1.2532
library,374f4afa2ba377f5,1.2515,1.3293,1.3293
library,37919483bf0c6c0d,1.2907,1.2169,1.2907
library,384b4764229af0f4,1.2422,1.2375,1.2422
library,390e06d57e0d541b,1.2203,1.3295,1.3295
library,39dfe78afe0ba10c,1.0843,1.2147,1.2147
library,3a70e62834003af8,1.1519,1.2857,1.2857
library,3a7b3d20201b71b3,1.1728,1.2025,1.2025
library,3a866365bb664ad1,1.2655,1.1818,1.2655
library,3ab9a1ba15db77ba,1.1792,1.3520,1.3520
library,3ae6eedb8a844cc5,1.2278,1.2125,1.2278
library,3afdff05d1a4d88f,1.1977,1.2118,1.2118
library,3b8e4559c7d7b385,1.1379,1.2706,1.2706
library,3bdbbe33d6a2f574,1.3951,1.2235,1.3951
library,3c590ef82a9dc901,1.2469,1.3006,1.3006
library,3c9e2fc18e951bd3,1.2683,1.1394,1.2683
library,3cb6bc0566147282,1.2453,1.2250,1.2453
library,3cc22c5ff32d9a6d,1.2262,1.2317,1.2317
library,3db3c70ec24282ce,1.2955,1.1724,1.2955
library,3dbc9db3a10cd183,1.2292,1.1915,1.2292
library,3ddb0db2bf74b74a,1.1667,1.3333,1.3333
library,3def384cc63a14c7,1.2761,1.2436,1.2761
library,3e1d6e00ead1e6e8,1.2000,1.2611,1.2611
library,3e1f0c27146cbf1d,1.2500,1.2102,1.2500
library,3e73e4ac4f6bea76,1.2857,1.2335,1.2857
library,3e96b8c52f304514,1.2410,1.3413,1.3413
library,3ed887afebd55581,1.2911,1.2099,1.2911
library,3f230715e40b0f39,1.2195,1.2716,1.2716
library,3f3331000a4e86ef,1.2381,1.2439,1.2439
library,3f61d7a51f79ff66,1.1905,1.2561,1.2561
library,407d4f269e282048,1.2299,1.1977,1.2299
library,40c619436eb30626,1.3292,1.1566,1.3292
library,410b7950376fe298,1.2660,1.3913,1.3913
library,410c79301e2c9f09,1.1630,1.3152,1.3152
library,4308ba7a8abe0c75,1.2468,1.3038,1.3038
library,43384705377a2458,1.3333,1.3735,1.3735
library,439014ee136b416c,1.3902,1.1905,1.3902
library,44c6bc42c1501b9f,1.3210,1.1553,1.3210
library,4555d79fea2aff45,1.1566,1.2588,1.2588
library,4566a74cc83d9a75,1.3049,1.1829,1.3049
library,4588fef9a88e7486,1.2529,1.2235,1.2529
library,46238bb793f4f768,1.2340,1.1878,1.2340
library,4666e3ace9f50925,1.0000,1.2611,1.2611
library,466f4a161d7f9190,1.2289,1.1951,1.2289
library,47372736cf1ed2e8,1.3214,1.2195,1.3214
library,48583ceacad9ceb7,1.2000,1.2201,1.2201
library,4908223cf3ef1f79,1.1953,1.2139,1.2139
library,4922d33dd2a27cb7,1.2235,1.2500,1.2500
library,493a2f24fc7f012b,1.2308,1.2564,1.2564
library,49e63fcf4b19ccbe,1.3210,1.3210,1.3210
library,49f1851bfc6d6d84,1.2500,1.2405,1.2500
library,4a17160bb6896d6b,1.3333,1.1392,1.3333
library,4a1c4f8abb772780,1.3735,1.2024,1.3735
library,4a5b43dcf872e2cd,1.1646,1.2611,1.2611
library,4abe06703d06375b,1.2658,1.2025,1.2658
library,4b34bb4d970a05e0,1.3077,1.3766,1.3766
library,4b6a6d0e10e24058,1.2147,1.3049,1.3049
library,4bbcf0f4bd288368,1.2561,1.2561,1.2561
library,4c1e4ec1217d3f1a,1.2071,1.3049,1.3049
library,4c6481012f6e064c,1.3054,1.2738,1.3054
library,4c77d9e888901b23,1.3049,1.2000,1.3049
library,4ca625891aa0b3ad,1.1732,1.3483,1.3483
library,4d2c663e37caba59,1.2000,1.1634,1.2000
library,4d2e1e3de669ad95,1.2529,1.2934,1.2934
library,4d4983940e282f98,1.2529,1.2045,1.2529
library,4d5c30ad2d8789a2,1.1445,1.3494,1.3494
library,4d5c9fc0b669e0e7,1.4557,1.2222,1.4557
library,4dd9e9ab7088e3ae,1.1786,1.1860,1.1860
library,4dfee77420abe7fb,1.2472,1.1832,1.2472
library,4edf20b1246b7705,1.2073,1.3012,1.3012
library,4ee550a43ff85d07,1.2530,1.2593,1.2593
library,4f161e673d48f32c,1.3457,1.1707,1.3457
library,4f2ba97222678378,1.3174,1.2209,1.3174
library,4f3fdb089ae38197,1.2761,1.2289,1.2761
library,5007b7f072d66ec5,1.2289,1.2048,1.2289
library,519eabde8ecb7526,1.1566,1.2073,1.2073
library,51c9c206d31a4b6b,1.2262,1.2216,1.2262
library,537224edf13862a0,1.3049,1.2346,1.3049
library,53a83692e79be312,1.1687,1.2840,1.2840
library,53fb5b564d756eeb,1.2680,1.2143,1.2680
library,544d9afdc19a14c4,1.2000,1.2455,1.2455
library,5483937ffdfa3f0a,1.2135,1.1620,1.2135
library,54bf31f0241b1f76,1.1950,1.3250,1.3250
library,54c5b3fde196f211,1.2242,1.3780,1.3780
library,54e4ae45800ba094,1.2169,1.2771,1.2771
library,54fd438e3e7a60d7,1.2229,1.1818,1.2229
library,54ff4bb12f2f7310,1.1772,1.3718,1.3718
library,555eb69f451a9bf2,1.3086,1.2250,1.3086
library,55663aef5fa18ba8,1.1687,1.1786,1.1786
library,55dce8aa9211f661,1.2842,1.1789,1.2842
library,567981c044ddfe2a,1.2381,1.2093,1.2381
library,5693830051ee7d3c,1.2805,1.2353,1.2805
library,56f4f37d32fc312a,1.2645,1.3418,1.3418
library,571dc187be914f48,1.2987,1.2152,1.2987
library,5734531bb5518621,1.3620,1.1257,1.3620
library,577e8f0135caee3a,1.2299,1.2090,1.2299
library,5799828e9e891e33,1.3418,1.1720,1.3418
library,586ca7ef666551d6,1.2927,1.3413,1.3413
library,591a07e887761a1d,1.3483,1.1739,1.3483
library,592293e02b8054b2,1.1636,1.3171,1.3171
library,592570b81370f2ae,1.2784,1.1939,1.2784
library,5940112c3cdf8642,1.1361,1.1707,1.1707
library,595eee962c8f0160,1.2065,1.2075,1.2075
