arm,file,verdict,score,families
mp3_192,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,WARNING,36,cnn
mp3_192,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,AUTHENTIC,5,temporal
mp3_192,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,AUTHENTIC,0,
mp3_192,015-08-Jos-Gonz-lez-Vissel.flac,AUTHENTIC,6,temporal
mp3_192,016-03-Memory-Tapes-Green-knight.flac,WARNING,36,cnn+temporal
mp3_192,017-13-Cafe-Del-Mar-Submariner.flac,WARNING,36,cnn+temporal
mp3_192,018-04-Bag-o-wire-Resovoir.flac,WARNING,36,cnn
mp3_192,019-04-Kohi-Jadu.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,020-06-Bola-Tigantabame.flac,WARNING,36,cnn+temporal
mp3_192,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,WARNING,50,cnn+spectral+temporal
mp3_192,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,023-01-Yusef-Lateef-Buddy-and-lou.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,WARNING,32,cnn+spectral+temporal
mp3_192,025-07-Bolalar-Lola.flac,WARNING,36,cnn+temporal
mp3_192,026-06-Oumou-Dioubat-Siyala.flac,WARNING,36,cnn+temporal
mp3_192,027-01-Dimlite-Kitty-Cradle-Fog.flac,WARNING,36,cnn+temporal
mp3_192,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,AUTHENTIC,0,temporal
mp3_192,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,FAKE_CERTAIN,86,cnn+spectral
mp3_192,030-06-S-bastien-Tellier-Benny.flac,WARNING,36,cnn+temporal
mp3_192,031-07-Shkoon-Just-Emma-Id.flac,AUTHENTIC,0,temporal
mp3_192,032-05-2kilos-more-Cache-feu.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,033-01-Daylight-Rising.flac,FAKE_CERTAIN,86,cnn+spectral+temporal
mp3_192,034-09-Snow-Ghosts-Bowline.flac,WARNING,36,spectral
mp3_192,035-16-Slow-Air-In-Dropped-D.flac,AUTHENTIC,6,temporal
mp3_192,036-08-Nicolas-Comment-Amaurose.flac,FAKE_CERTAIN,86,cnn+spectral
