orig_idx,kind,is_transcode,src_rolloff_bucket,model_fp_orig,p_transcoded,cutoff_freq,cutoff_std,energy_ratio,real_bitrate_kbps,bit_depth,apparent_bitrate_kbps,comp_ratio
47,mp3_320,1,7-10k,1,0.8391,20250,0.0,0.0001996,820.5,16,1411.0,0.5815
47,mp3_v0,1,7-10k,1,0.5876,21750,0.0,0.00027677,821.3,16,1411.0,0.5821
52,authentic,0,7-10k,1,0.5996,17750,0.0,2.7e-07,302.7,16,1411.0,0.2145
52,mp3_128,1,7-10k,1,0.5597,16750,0.0,1.3e-07,311.9,16,1411.0,0.221
52,mp3_320,1,7-10k,1,0.5997,17750,0.0,2.7e-07,324.6,16,1411.0,0.2301
52,mp3_v0,1,7-10k,1,0.8668,17750,0.0,2.7e-07,324.2,16,1411.0,0.2298
53,authentic,0,<4k,1,0.6969,22050.0,0.0,2e-08,746.9,16,1411.0,0.5293
53,mp3_128,1,<4k,1,0.829,16000,0.0,0.0,741.8,16,1411.0,0.5257
53,mp3_320,1,<4k,1,0.7152,20000,0.0,1e-08,755.8,16,1411.0,0.5357
53,mp3_v0,1,<4k,1,0.8107,17250,0.0,1e-08,745.8,16,1411.0,0.5285
44,authentic,0,10-14k,1,0.9811,18750,117.9,2.751e-05,881.5,16,1411.0,0.6248
44,mp3_128,1,10-14k,1,0.9893,16750,0.0,3.15e-06,866.6,16,1411.0,0.6141
44,mp3_320,1,10-14k,1,0.9835,18750,117.9,2.799e-05,901.6,16,1411.0,0.6389
44,mp3_v0,1,10-14k,1,0.9793,18750,117.9,2.878e-05,901.2,16,1411.0,0.6387
45,authentic,0,>=14k,0,0.0859,21500,0.0,0.00025423,947.9,16,1411.0,0.6718
45,mp3_128,1,>=14k,0,0.9713,16750,0.0,3.437e-05,928.0,16,1411.0,0.6577
45,mp3_320,1,>=14k,0,0.9257,20250,0.0,0.0002261,995.2,16,1411.0,0.7053
45,mp3_v0,1,>=14k,0,0.8917,21500,0.0,0.00026149,990.6,16,1411.0,0.702
56,authentic,0,10-14k,0,0.0631,22050.0,0.0,1.712e-05,502.1,16,1411.0,0.3559
56,mp3_128,1,10-14k,0,0.9351,16750,0.0,4.03e-06,504.5,16,1411.0,0.3576
56,mp3_320,1,10-14k,0,0.9569,20250,0.0,1.599e-05,524.9,16,1411.0,0.372
56,mp3_v0,1,10-14k,0,0.8495,21500,0.0,1.875e-05,527.8,16,1411.0,0.374
57,authentic,0,4-7k,1,0.9637,19500,964.7,6.1e-07,860.3,16,1411.0,0.6097
57,mp3_128,1,4-7k,1,0.9724,16500,117.9,1e-08,876.2,16,1411.0,0.621
57,mp3_320,1,4-7k,1,0.9691,19250,353.6,6.6e-07,916.6,16,1411.0,0.6496
57,mp3_v0,1,4-7k,1,0.9807,19500,311.8,6.8e-07,902.3,16,1411.0,0.6395
54,authentic,0,7-10k,1,0.657,16750,0.0,3e-08,540.8,16,1411.0,0.3833
54,mp3_128,1,7-10k,1,0.805,15750,0.0,0.0,524.0,16,1411.0,0.3713
