arm,file,seam,seam_hz,cutoff_hz
aacmf_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,9.1326,3908,16624
aacmf_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,5.9347,3618,16311
aacmf_256,009-03-Ilya-Beshevli-To-solitude.flac,35.2465,3639,22050
aacmf_256,010-06-Jon-Hassell-These-times.flac,16.2440,3004,19186
aacmf_256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4.7675,3973,20984
aacmf_256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,19.6732,5879,19380
aacmf_256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,24.5089,3833,22028
aacmf_256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,8.3036,6568,10670
aacmf_256,015-08-Jos-Gonz-lez-Vissel.flac,28.4157,3004,22050
aacmf_256,016-03-Memory-Tapes-Green-knight.flac,4.9865,18605,22039
aacmf_256,017-13-Cafe-Del-Mar-Submariner.flac,7.7674,3553,21781
aacmf_256,018-04-Bag-o-wire-Resovoir.flac,5.5830,3219,20930
aacmf_256,019-04-Kohi-Jadu.flac,12.8767,3187,18260
aacmf_256,020-06-Bola-Tigantabame.flac,4.4796,5609,18583
aacmf_256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,5.0578,3768,15859
aacmf_256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,9.1935,3359,18572
aacmf_256,023-01-Yusef-Lateef-Buddy-and-lou.flac,5.3992,9991,19283
aacmf_256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,9.4902,3736,22050
aacmf_256,025-07-Bolalar-Lola.flac,5.6923,15848,18798
aacmf_256,026-06-Oumou-Dioubat-Siyala.flac,6.6761,11585,19907
aacmf_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,11.3344,4436,22050
aacmf_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,26.7116,3984,21350
aacmf_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,9.0659,8936,17905
aacmf_256,030-06-S-bastien-Tellier-Benny.flac,5.9451,3208,21296
aacmf_256,031-07-Shkoon-Just-Emma-Id.flac,11.0468,13652,21899
aacmf_256,032-05-2kilos-more-Cache-feu.flac,10.5350,5071,22050
aacmf_256,033-01-Daylight-Rising.flac,6.3268,18562,20144
aacmf_256,034-09-Snow-Ghosts-Bowline.flac,4.7802,7946,18605
aacmf_256,035-16-Slow-Air-In-Dropped-D.flac,5.4762,3370,20909
aacmf_256,036-08-Nicolas-Comment-Amaurose.flac,9.3799,7160,20790
aacmf_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,6.0856,5965,22050
aacmf_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,4.7809,6062,20758
