file,stratum,reference_db,edge_20db_hz,edge_40db_hz
fd-exchange-v3-setA-r2-0214,full_band,-76.56,21086.4,
fd-exchange-v3-setA-r2-0215,band_limited_synthetic,-84.19,14497.2,15843.1
fd-exchange-v3-setA-r2-0216,band_limited_synthetic,-84.87,14346.5,15686.9
fd-exchange-v3-setA-r2-0217,full_band,-85.04,16451.4,17248.1
fd-exchange-v3-setA-r2-0218,full_band,-95.67,,
fd-exchange-v3-setA-r2-0219,full_band,-81.35,14394.9,16666.7
fd-exchange-v3-setA-r2-0220,band_limited_synthetic,-84.92,14502.6,15573.9
fd-exchange-v3-setA-r2-0221,full_band,-91.75,20085.1,20461.9
fd-exchange-v3-setA-r2-0222,full_band,-77.35,17517.3,18066.4
fd-exchange-v3-setA-r2-0223,band_limited_synthetic,-86.10,14610.3,15611.6
fd-exchange-v3-setA-r2-0224,band_limited_synthetic,-87.42,14551.1,15557.7
fd-exchange-v3-setA-r2-0225,band_limited_synthetic,-84.04,14411.1,14987.1
fd-exchange-v3-setA-r2-0226,full_band,-76.38,20117.4,20445.8
fd-exchange-v3-setA-r2-0227,band_limited_synthetic,-90.10,14421.9,14901.0
fd-exchange-v3-setA-r2-0228,band_limited_synthetic,-81.51,14529.5,15880.7
fd-exchange-v3-setA-r2-0229,full_band,-94.49,20133.5,20472.7
fd-exchange-v3-setA-r2-0230,full_band,-77.47,21630.1,
fd-exchange-v3-setA-r2-0231,full_band,-98.36,,
fd-exchange-v3-setA-r2-0232,full_band,-89.19,,
fd-exchange-v3-setA-r2-0233,full_band,-79.58,21027.2,21877.7
fd-exchange-v3-setA-r2-0234,band_limited_synthetic,-90.21,14567.2,15988.4
fd-exchange-v3-setA-r2-0235,full_band,-83.97,21005.6,21398.6
fd-exchange-v3-setA-r2-0236,band_limited_synthetic,-84.96,14443.4,15110.9
fd-exchange-v3-setA-r2-0237,band_limited_synthetic,-81.56,14529.5,15891.5
fd-exchange-v3-setA-r2-0238,full_band,-89.37,21463.2,
fd-exchange-v3-setA-r2-0239,full_band,-96.49,16612.9,
fd-exchange-v3-setA-r2-0240,full_band,-97.24,19842.8,22050.0
fd-exchange-v3-setA-r2-0241,band_limited_synthetic,-84.24,14497.2,15843.1
fd-exchange-v3-setA-r2-0242,full_band,-89.14,20101.2,20225.1
