file,ladder,generation,R_phase0,R_best,best_phase,sha_note
018-04-Bag-o-wire-Resovoir.flac,L_mp3_320,2,1.0039223835656321,1.0039223835656321,0,
018-04-Bag-o-wire-Resovoir.flac,L_mp3_320,3,0.5665751895841769,0.5665751895841769,0,
018-04-Bag-o-wire-Resovoir.flac,L_mp3_320,4,0.27689788964483625,0.27689788964483625,0,
018-04-Bag-o-wire-Resovoir.flac,A_aac_256,1,1.9791463646266565,1.9012158513234414,47,
018-04-Bag-o-wire-Resovoir.flac,A_aac_256,2,2.0448017703380312,2.0017632901481135,47,
018-04-Bag-o-wire-Resovoir.flac,A_aac_256,3,2.339290077406344,2.0310079934466643,529,
018-04-Bag-o-wire-Resovoir.flac,A_aac_256,4,2.2147557963677205,2.1969100353017295,529,
019-04-Kohi-Jadu.flac,master,0,2.750909133884341,2.750909133884341,0,
019-04-Kohi-Jadu.flac,L_mp3_320,1,0.8259637526969659,0.8259637526969659,0,
019-04-Kohi-Jadu.flac,L_mp3_320,2,0.40406649092672775,0.40406649092672775,0,
019-04-Kohi-Jadu.flac,L_mp3_320,3,0.27399970682459535,0.27399970682459535,0,
019-04-Kohi-Jadu.flac,L_mp3_320,4,0.2717074514147434,0.2717074514147434,0,
019-04-Kohi-Jadu.flac,A_aac_256,1,2.9872539283737214,2.934700127020109,47,
019-04-Kohi-Jadu.flac,A_aac_256,2,2.920159200125847,2.8958239202508724,47,
019-04-Kohi-Jadu.flac,A_aac_256,3,2.8704848203202586,2.8704848203202586,0,
019-04-Kohi-Jadu.flac,A_aac_256,4,3.0391390462988706,2.987332071040862,529,
020-06-Bola-Tigantabame.flac,master,0,4.470368386227896,4.213269690303334,47,
020-06-Bola-Tigantabame.flac,L_mp3_320,1,1.104959568984756,1.104959568984756,0,
020-06-Bola-Tigantabame.flac,L_mp3_320,2,0.8870808888444631,0.8870808888444631,0,
020-06-Bola-Tigantabame.flac,L_mp3_320,3,0.029708474227641717,0.029708474227641717,0,
020-06-Bola-Tigantabame.flac,L_mp3_320,4,0.22829384665626645,0.22829384665626645,0,
020-06-Bola-Tigantabame.flac,A_aac_256,1,4.447432357798238,4.447432357798238,0,
020-06-Bola-Tigantabame.flac,A_aac_256,2,4.3752707101618995,4.252940160782444,47,
020-06-Bola-Tigantabame.flac,A_aac_256,3,4.3808562296540305,4.3808562296540305,0,
020-06-Bola-Tigantabame.flac,A_aac_256,4,4.3682759478161906,4.206541899404527,47,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,master,0,4.164247296969538,4.1050174382608695,47,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,L_mp3_320,1,1.4505423433530544,1.4505423433530544,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,L_mp3_320,2,1.166319373954185,1.166319373954185,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,L_mp3_320,3,0.5310239732833432,0.5310239732833432,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,L_mp3_320,4,0.7253992089186814,0.7253992089186814,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,A_aac_256,1,4.090012983945638,3.7785645287647878,529,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,A_aac_256,2,3.785434795377447,3.785434795377447,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,A_aac_256,3,3.519727428235898,3.519727428235898,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,A_aac_256,4,3.646202859225096,3.496629603439418,47,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,master,0,1.5618208492030319,1.5618208492030319,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,L_mp3_320,1,0.15558677919700098,0.15558677919700098,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,L_mp3_320,2,0.3029487185760366,0.3029487185760366,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,L_mp3_320,3,0.24999748215852255,0.24999748215852255,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,L_mp3_320,4,0.05581029035430364,0.05581029035430364,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,A_aac_256,1,2.1930293001437726,2.1930293001437726,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,A_aac_256,2,2.3946605930226568,2.385928401539716,47,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,A_aac_256,3,2.542824390164307,2.3117165746115855,47,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,A_aac_256,4,2.5173750106269024,2.47361821251897,47,
023-01-Yusef-Lateef-Buddy-and-lou.flac,master,0,3.6096841143167877,3.6096841143167877,0,
023-01-Yusef-Lateef-Buddy-and-lou.flac,L_mp3_320,1,1.3177055960979938,1.3177055960979938,0,
023-01-Yusef-Lateef-Buddy-and-lou.flac,L_mp3_320,2,1.1562330636381586,1.1562330636381586,0,
023-01-Yusef-Lateef-Buddy-and-lou.flac,L_mp3_320,3,0.49570031917573,0.49570031917573,0,
023-01-Yusef-Lateef-Buddy-and-lou.flac,L_mp3_320,4,0.43771135399519795,0.43771135399519795,0,
023-01-Yusef-Lateef-Buddy-and-lou.flac,A_aac_256,1,3.6798613247207816,3.4869957555132403,47,
023-01-Yusef-Lateef-Buddy-and-lou.flac,A_aac_256,2,3.637382562876203,3.637382562876203,0,
023-01-Yusef-Lateef-Buddy-and-lou.flac,A_aac_256,3,3.6996482591627684,3.577682972986481,47,
023-01-Yusef-Lateef-Buddy-and-lou.flac,A_aac_256,4,3.739601922424632,3.5321597548748263,529,
