orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,mod38_full,mod38_side,mod38_hf,mod76_full,mod76_hf,inband_flat_tstd,side_flat_tstd,side_energy_cv,flux_mean,flux_std
35,mp3_320,1,2692.6,1,1,0.001472,0.008393,0.013552,0.000193,0.005054,0.042514,0.043431,1.0643,2.4284,2.743
35,mp3_v0,1,2692.6,1,1,0.001472,0.008427,0.013296,0.000192,0.004794,0.039968,0.039295,1.0643,2.4284,2.7429
36,authentic,0,4420.6,1,1,0.006341,0.00412,0.001655,0.002495,0.002841,0.000586,0.002951,0.7,14.4527,6.8778
36,mp3_128,1,4420.6,1,1,0.006296,0.004097,0.00213,0.002494,0.002759,0.014871,0.016897,0.6993,13.7304,6.5318
36,mp3_320,1,4420.6,1,1,0.006337,0.004129,0.001599,0.002492,0.002819,0.001607,0.003604,0.7002,14.4526,6.8779
36,mp3_v0,1,4420.6,1,1,0.00633,0.004113,0.00173,0.0025,0.002915,0.001253,0.003595,0.7001,14.4538,6.8784
37,authentic,0,6894.4,1,1,0.004901,0.004126,0.006512,0.001357,0.003113,0.051277,0.239974,2.2998,4.4576,4.5485
37,mp3_128,1,6894.4,1,1,0.005056,0.004659,0.006425,0.001359,0.003106,0.050827,0.185773,2.2965,4.2449,4.3298
37,mp3_320,1,6894.4,1,1,0.004917,0.004081,0.006492,0.001359,0.003096,0.051235,0.224966,2.2987,4.4579,4.549
37,mp3_v0,1,6894.4,1,1,0.004898,0.004296,0.006489,0.00135,0.003113,0.051363,0.183016,2.2983,4.4583,4.5486
38,authentic,0,5506.9,1,0,0.002156,0.0,0.002601,0.001399,0.001849,0.020915,0.031162,37.0308,11.3953,6.2922
38,mp3_128,1,5506.9,1,0,0.002158,0.0,0.002487,0.001418,0.001955,0.021965,0.030832,37.0228,10.8248,5.9759
38,mp3_320,1,5506.9,1,0,0.002157,0.0,0.002606,0.0014,0.00185,0.020915,0.031162,37.0308,11.3953,6.2922
38,mp3_v0,1,5506.9,1,0,0.002164,0.0,0.002622,0.001394,0.001843,0.020928,0.030867,37.1296,11.3955,6.2932
39,authentic,0,6522.9,1,1,0.002512,0.005145,0.003317,0.043016,0.001414,0.014134,0.03226,0.5199,17.5049,7.4188
39,mp3_128,1,6522.9,1,1,0.002607,0.0051,0.003265,0.042664,0.001226,0.008506,0.030329,0.5202,16.6329,7.0317
39,mp3_320,1,6522.9,1,1,0.002497,0.005141,0.003358,0.043031,0.001401,0.008793,0.032185,0.5198,17.5044,7.4239
39,mp3_v0,1,6522.9,1,1,0.002473,0.005178,0.00326,0.043156,0.001282,0.010352,0.0313,0.5199,17.5048,7.4284
42,authentic,0,3993.2,1,1,0.001962,0.015447,0.012851,0.000234,0.005214,0.0196,0.018769,0.1605,1.8419,2.6558
42,mp3_128,1,3993.2,1,1,0.001954,0.02437,0.012528,0.000238,0.005389,0.071105,0.043554,0.1405,1.7505,2.5244
42,mp3_320,1,3993.2,1,1,0.001962,0.014215,0.01291,0.000234,0.005296,0.02526,0.034233,0.1795,1.8419,2.6558
42,mp3_v0,1,3993.2,1,1,0.001972,0.017355,0.012382,0.000235,0.005074,0.023542,0.023806,0.1601,1.8423,2.6561
43,authentic,0,894.0,1,1,0.004074,0.005046,0.002518,0.000585,0.002635,0.00191,0.001577,1.0878,15.5944,6.3743
43,mp3_128,1,894.0,1,1,0.003959,0.005096,0.002249,0.000574,0.001744,0.000272,0.000241,1.0935,14.812,6.056
43,mp3_320,1,894.0,1,1,0.004073,0.005049,0.002462,0.000586,0.00255,0.001016,0.000877,1.0878,15.5946,6.3744
43,mp3_v0,1,894.0,1,1,0.00407,0.005008,0.002538,0.000587,0.002156,0.001806,0.001542,1.0877,15.5954,6.3741
44,authentic,0,1991.5,1,1,0.010868,0.003251,0.003287,0.004428,0.000619,0.002792,0.004316,1.2763,3.5973,2.4701
44,mp3_128,1,1991.5,1,1,0.010908,0.003271,0.003594,0.004461,0.000494,0.001592,0.002563,1.2738,3.4183,2.3475
44,mp3_320,1,1991.5,1,1,0.010865,0.003249,0.003313,0.004428,0.000622,0.002489,0.003842,1.2763,3.5973,2.4701
44,mp3_v0,1,1991.5,1,1,0.010879,0.003239,0.003152,0.004432,0.000724,0.003194,0.004908,1.2762,3.5974,2.4701
45,authentic,0,4009.7,1,1,0.003444,0.002852,0.00483,0.000887,0.00024,0.003108,0.105174,2.1337,5.8018,8.2356
45,mp3_128,1,4009.7,1,1,0.003453,0.002861,0.004929,0.000887,0.000251,0.021385,0.027893,2.1324,5.5125,7.8273
45,mp3_320,1,4009.7,1,1,0.003443,0.002753,0.00483,0.000887,0.000239,0.00393,0.068015,2.1334,5.8016,8.2354
45,mp3_v0,1,4009.7,1,1,0.003437,0.002705,0.004844,0.000888,0.00024,0.004544,0.049901,2.1335,5.8028,8.236
46,authentic,0,5506.8,1,1,0.011342,0.036844,0.020137,0.001764,0.009736,0.026992,0.027302,0.2176,8.3593,9.488
