track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
04 - Penjuru Menyatu (Unified Counters).flac,44100,21500.0,2.136e-07,259.3,nan,731
07 - Moondog -  Shakespeare city.flac,44100,22050.0,1.804e-07,0.0,nan,713
08 - Alias -  Place of no more choices.flac,44100,22050.0,5.917e-07,0.0,nan,439
11 - Waed Bouhassoun -  Passion sans plainte.flac,44100,21500.0,5.586e-07,259.3,nan,682
12 - Angus & Julia Stone -  I'm not yours.flac,44100,21750.0,1.724e-05,0.0,nan,856
13 - Cyril Morin -  Bumblebee (composed and performed by dadon).flac,44100,21750.0,6.130e-08,141.4,nan,806
04 - Modenine -  Green passport (feat. sage hasson).flac,44100,22050.0,1.421e-05,0.0,nan,873
06 - Talene Lampe Yi.flac,44100,21750.0,8.342e-06,0.0,nan,879
Jungle run - 09 - Nubiyan Twist - They talk.flac,44100,21250.0,4.589e-05,117.9,nan,961
13 - Mighty Sparrow -  Dancehall brawl.flac,44100,20500.0,2.145e-06,0.0,-39.0,872
06 - Le Système Crapoutchik -  L'horrible rêve.flac,44100,22050.0,9.153e-07,0.0,nan,947
04 - Estray & Raio  -  Chakya muna .flac,44100,22050.0,3.795e-05,0.0,nan,826
12 - Mamagubida - Tryo -  Les soldats de plomb.flac,44100,22050.0,4.475e-06,0.0,nan,878
05 - Ade Olumoko -  Eyo.flac,44100,18500.0,2.159e-06,424.9,nan,792
01 - BKO Quintet -  Ntana.flac,44100,20750.0,6.793e-07,612.8,nan,765
08 - Son House -  Death letter blues.flac,44100,22050.0,7.487e-06,0.0,nan,433
08- No me llores más.flac,44100,22050.0,1.666e-06,0.0,nan,849
15 - Michel Legrand -  Eva - finale.flac,44100,20750.0,6.790e-07,117.9,nan,701
10 - Angus & Julia Stone -  Hush.flac,44100,21750.0,6.390e-05,0.0,nan,866
26 - Vishnudass Shirali -  Tabla-taranga (raga adana).flac,44100,22050.0,8.224e-06,0.0,nan,427
16 - George Bruns -  It's the butler  headlines.flac,44100,22050.0,2.369e-06,0.0,nan,439
09 - Hermanos Gutiérrez -  Until we meet again.flac,44100,22050.0,1.822e-07,0.0,nan,691
06 - State Street Boys -  Sweet to mama.flac,44100,21000.0,1.912e-09,495.0,nan,311
09 - Issoire.flac,44100,21500.0,1.986e-05,0.0,nan,905
03 - Apparat -  Pressure.flac,44100,22050.0,1.826e-04,0.0,nan,910
08 - U.F.O. -  Loud minority.flac,44100,20750.0,6.854e-06,0.0,nan,968
10 - Saz'iso -  Bëje dru në përcëllime.flac,44100,21750.0,7.888e-06,0.0,nan,833
11 - Keur Moussa -  Banehu len i  1. allegro.flac,44100,22050.0,4.186e-07,0.0,nan,623
01 - Roger Molls -  The opening.flac,44100,20250.0,2.524e-05,117.9,-74.9,899
09 Number One De Dakar - Takoussane.flac,44100,22050.0,1.753e-06,0.0,nan,831
11 - Bob Marley -  Redemption song (band version) (bonus track).flac,44100,22050.0,1.413e-04,0.0,nan,925
04 - 2kilos &more -  Csp.flac,44100,22050.0,1.167e-06,0.0,nan,826
02 - William Sheller -  Chanson d'Automne.flac,44100,22050.0,3.408e-07,0.0,nan,665
06 - Landkapelle Paul & Heinz Kurt -  Bim meieli.flac,44100,21000.0,2.692e-07,117.9,nan,754
05 - Apparat -  Nato.flac,44100,22050.0,4.942e-04,0.0,nan,1008
05 Lemon Bara.flac,44100,21000.0,2.971e-05,0.0,nan,895
04 - Ignacio Maria Gomez -  Fotiniepa.flac,44100,22050.0,1.032e-06,0.0,nan,940
10 - Moodswings -  Redemption song.flac,44100,21250.0,4.928e-05,0.0,nan,861
1.02. Idenga.flac,44100,22050.0,1.134e-04,0.0,nan,937
14 - Ahmed bin Brek -  Hasidi.flac,44100,22050.0,1.743e-07,0.0,nan,676
12 - Thione Seck -  Mouhamadou bamba.flac,44100,21500.0,1.741e-05,0.0,nan,926
22 - Lihat Adikku (See My Little Sister).flac,44100,22050.0,1.245e-07,0.0,nan,428
11 - Charif Megarbane -  Hawalat.flac,44100,16750.0,8.115e-08,204.1,nan,826
04 - Sigur Rós -  Yfirborð.flac,44100,21000.0,4.722e-08,311.8,nan,707
05 - Dock Walsh -  We courted in the rain.flac,44100,17750.0,7.073e-09,2027.0,nan,344
07 - Charlotte Gainsbourg -  Little monsters.flac,44100,20750.0,8.841e-06,0.0,nan,811
02 - Joys of Drinking.flac,48000,24000.0,7.166e-06,0.0,nan,979
"17. Kurban, Pa Hat & Adengr - Ror Salei Muqam.flac",44100,20750.0,3.062e-05,117.9,nan,925
08 - Driss el Maloumi -  Awzan.flac,44100,22050.0,1.167e-07,0.0,nan,649
13 - Cuncordu e Tenore de Orosei -  Ballu a passu turturinu (tenore).flac,44100,22050.0,9.464e-07,0.0,nan,840
05 - Michel Legrand -  Adam et Eve.flac,44100,22050.0,5.557e-07,0.0,nan,1020
02 - Jordi Savall -  Anonimo (cancionero de la columbina) - villancico propiñán de melyor  .flac,44100,20500.0,2.265e-05,0.0,-44.4,841
13 - Piéces de luth du vieux Gaultier - Ennemond Gaultier -  Suite en f.ut. fa dièse mineur vi.rondeau.flac,44100,21500.0,2.394e-07,0.0,nan,609
03 - Sima Bina -  Khan djan.flac,44100,20750.0,1.038e-05,117.9,nan,739
04 - Raphaël Zachille -  Manzè mona.flac,44100,22050.0,1.957e-05,0.0,nan,561
09 - Midlake -  Am i going insane.flac,44100,21750.0,6.242e-05,141.4,nan,969
17 - Richard M. Sherman and Robert B. Sherman -  Interview with the sherman brothers.flac,44100,21250.0,5.908e-07,117.9,nan,545
04. Shift Z feat. Hiba el Mansouri - Ahwak.flac,44100,21750.0,8.440e-06,141.4,nan,696
02 - Gianmaria Testa -  Le traiettorie delle mongolfiere.flac,44100,21000.0,5.582e-05,0.0,nan,877
02 - John Jacob Niles -  John henry.flac,44100,22050.0,3.127e-06,0.0,nan,425
"04 - Roger Molls -  High speed chase (featuring ptates, scratches by mr cut).flac",44100,20500.0,4.080e-05,117.9,-45.5,927
03 - Philip Glass -  Candyman Suite - Helen's Theme.flac,44100,22050.0,2.724e-07,0.0,nan,612
15 - The Jesus & Mary Chain -  Just like honey.flac,44100,19845.0,0.000e+00,1039.4,-61.1,346
03 - Angel Tears -  Mystic desire.flac,44100,22050.0,1.102e-04,0.0,nan,1004
13 - Xploding Plastix -  Doubletalk gets through to you.flac,44100,21000.0,1.573e-06,447.8,nan,933
04 - Zinja Hlungwani -  Ntombi ya mugaza.flac,44100,22050.0,8.327e-05,0.0,nan,767
03 - Nawal Al Zoghbi -  El layali.flac,44100,22050.0,7.197e-05,0.0,nan,1010
08 - Kinobe -  Lotus eater.flac,44100,21750.0,5.171e-06,0.0,nan,820
03 - Faithless -  Insomnia.flac,44100,19750.0,4.046e-06,471.4,-54.5,955
08 - Bob Marley -  I shot the sheriff (dub).flac,44100,21250.0,2.260e-06,0.0,nan,696
09 Infinite Abstract.flac,44100,22050.0,5.104e-07,0.0,nan,530
01 - Joy -  Fragile space.flac,44100,21500.0,7.884e-06,0.0,nan,855
11 - Zaho de Sagazan -  Le dernier des voyages.flac,44100,21250.0,1.617e-05,0.0,nan,987
30 - Hugh Campbell -  Boxes full of memories.flac,44100,22050.0,3.424e-07,0.0,nan,727
03 - Robert le Magnifique -  Hamlet#1.flac,44100,22050.0,3.460e-05,0.0,nan,905
