arm,file,geometry,ratio,offset
mp3_V0,002-03-Hraach-Let-it-go.flac,mp3_frame_1152,1.5833,388
mp3_V0,002-03-Hraach-Let-it-go.flac,mp3_granule_576,2.0000,264
mp3_V0,002-03-Hraach-Let-it-go.flac,aac_2048,1.5610,275
mp3_V0,003-01-Thor-Dari-lullaby.flac,mp3_frame_1152,1.7500,10
mp3_V0,003-01-Thor-Dari-lullaby.flac,mp3_granule_576,1.7500,129
mp3_V0,003-01-Thor-Dari-lullaby.flac,aac_2048,1.4773,748
mp3_V0,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_frame_1152,1.6667,457
mp3_V0,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_granule_576,1.8333,2
mp3_V0,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,aac_2048,1.6047,531
mp3_V0,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_frame_1152,1.7727,21
mp3_V0,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_granule_576,2.0909,105
mp3_V0,005-17-Los-Seven-Del-Swing-Celoso.flac,aac_2048,1.5610,184
mp3_V0,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_frame_1152,1.7083,82
mp3_V0,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_granule_576,1.8182,84
mp3_V0,006-09-Mahmoud-Ahmed-Tezeta.flac,aac_2048,1.4878,881
mp3_V0,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_frame_1152,1.6957,137
mp3_V0,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_granule_576,1.8182,75
mp3_V0,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,aac_2048,1.5000,101
mp3_V0,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_frame_1152,1.6667,119
mp3_V0,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_granule_576,2.0000,175
mp3_V0,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,aac_2048,1.5476,988
mp3_V0,009-03-Ilya-Beshevli-To-solitude.flac,mp3_frame_1152,1.5000,121
mp3_V0,009-03-Ilya-Beshevli-To-solitude.flac,mp3_granule_576,2.0000,87
mp3_V0,009-03-Ilya-Beshevli-To-solitude.flac,aac_2048,1.5333,944
mp3_V0,010-06-Jon-Hassell-These-times.flac,mp3_frame_1152,1.6522,260
mp3_V0,010-06-Jon-Hassell-These-times.flac,mp3_granule_576,2.0000,67
mp3_V0,010-06-Jon-Hassell-These-times.flac,aac_2048,1.5122,534
mp3_V0,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_frame_1152,1.6667,38
mp3_V0,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_granule_576,2.0000,128
mp3_V0,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,aac_2048,1.5366,771
mp3_V0,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_frame_1152,1.7826,479
mp3_V0,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_granule_576,2.0000,108
mp3_V0,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,aac_2048,1.4878,737
mp3_V0,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_frame_1152,1.7083,416
mp3_V0,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_granule_576,1.8182,205
mp3_V0,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,aac_2048,1.4878,26
mp3_V0,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_frame_1152,1.6957,566
mp3_V0,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,mp3_granule_576,1.9091,269
mp3_V0,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,aac_2048,1.4634,351
mp3_V0,015-08-Jos-Gonz-lez-Vissel.flac,mp3_frame_1152,1.8696,287
mp3_V0,015-08-Jos-Gonz-lez-Vissel.flac,mp3_granule_576,2.4545,20
mp3_V0,015-08-Jos-Gonz-lez-Vissel.flac,aac_2048,1.6250,13
mp3_V0,016-03-Memory-Tapes-Green-knight.flac,mp3_frame_1152,1.7826,290
mp3_V0,016-03-Memory-Tapes-Green-knight.flac,mp3_granule_576,1.9167,144
mp3_V0,016-03-Memory-Tapes-Green-knight.flac,aac_2048,1.5366,442
mp3_V0,017-13-Cafe-Del-Mar-Submariner.flac,mp3_frame_1152,1.7917,312
mp3_V0,017-13-Cafe-Del-Mar-Submariner.flac,mp3_granule_576,1.9167,217
mp3_V0,017-13-Cafe-Del-Mar-Submariner.flac,aac_2048,1.5238,121
mp3_V0,018-04-Bag-o-wire-Resovoir.flac,mp3_frame_1152,1.7083,147
mp3_V0,018-04-Bag-o-wire-Resovoir.flac,mp3_granule_576,1.9167,69
mp3_V0,018-04-Bag-o-wire-Resovoir.flac,aac_2048,1.5366,751
mp3_V0,019-04-Kohi-Jadu.flac,mp3_frame_1152,1.6400,266
mp3_V0,019-04-Kohi-Jadu.flac,mp3_granule_576,2.0000,38
mp3_V0,019-04-Kohi-Jadu.flac,aac_2048,1.5814,694
mp3_V0,020-06-Bola-Tigantabame.flac,mp3_frame_1152,1.7692,153
mp3_V0,020-06-Bola-Tigantabame.flac,mp3_granule_576,1.8462,284
mp3_V0,020-06-Bola-Tigantabame.flac,aac_2048,1.5000,32
mp3_V0,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_frame_1152,1.7826,15
mp3_V0,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,mp3_granule_576,1.8333,111
mp3_V0,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,aac_2048,1.5122,442
mp3_V0,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_frame_1152,1.6000,339
mp3_V0,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,mp3_granule_576,2.2727,123
mp3_V0,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,aac_2048,1.4762,206
mp3_V0,023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_frame_1152,1.6154,243
mp3_V0,023-01-Yusef-Lateef-Buddy-and-lou.flac,mp3_granule_576,2.0909,153
mp3_V0,023-01-Yusef-Lateef-Buddy-and-lou.flac,aac_2048,1.4783,156
mp3_V0,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_frame_1152,1.9583,287
mp3_V0,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,mp3_granule_576,1.9167,244
mp3_V0,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,aac_2048,1.6429,144
mp3_192,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_frame_1152,1.6957,415
mp3_192,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,mp3_granule_576,2.1667,167
mp3_192,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,aac_2048,1.6341,120
mp3_192,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_frame_1152,1.8800,298
mp3_192,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,mp3_granule_576,2.0000,127
mp3_192,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,aac_2048,1.5000,569
mp3_192,002-03-Hraach-Let-it-go.flac,mp3_frame_1152,2.0000,287
mp3_192,002-03-Hraach-Let-it-go.flac,mp3_granule_576,2.1739,207
mp3_192,002-03-Hraach-Let-it-go.flac,aac_2048,1.5476,310
mp3_192,003-01-Thor-Dari-lullaby.flac,mp3_frame_1152,2.0800,287
mp3_192,003-01-Thor-Dari-lullaby.flac,mp3_granule_576,2.0000,9
mp3_192,003-01-Thor-Dari-lullaby.flac,aac_2048,1.4773,870
mp3_192,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_frame_1152,1.9600,287
mp3_192,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,mp3_granule_576,1.9167,247
mp3_192,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,aac_2048,1.5952,679
mp3_192,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_frame_1152,1.8750,287
mp3_192,005-17-Los-Seven-Del-Swing-Celoso.flac,mp3_granule_576,2.0000,67
mp3_192,005-17-Los-Seven-Del-Swing-Celoso.flac,aac_2048,1.4146,831
mp3_192,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_frame_1152,1.7500,192
mp3_192,006-09-Mahmoud-Ahmed-Tezeta.flac,mp3_granule_576,2.0909,137
mp3_192,006-09-Mahmoud-Ahmed-Tezeta.flac,aac_2048,1.5476,923
