source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
maroon5-2004-10-21.flac16__maroon5-2004-10-21t01.flac,coreaudio_128,1.2651,400,vorbis,1.0348,0.5953,19.4808
maroon5-2004-10-21.flac16__maroon5-2004-10-21t01.flac,coreaudio_256,1.3038,588,kbd,1.0368,0.8162,21.2722
maroon5-2004-10-21.flac16__maroon5-2004-10-21t01.flac,coreaudio_320,1.2561,262,vorbis,1.0349,0.6609,5.8901
maroon5-2004-10-21.flac16__maroon5-2004-10-21t02.flac,genuine,1.2500,641,vorbis,1.0351,0.5806,1.1250
maroon5-2004-10-21.flac16__maroon5-2004-10-21t02.flac,coreaudio_128,1.2243,906,kbd,1.0461,0.6829,19.6264
maroon5-2004-10-21.flac16__maroon5-2004-10-21t02.flac,coreaudio_256,1.2738,854,kbd,1.0421,0.6824,21.0500
maroon5-2004-10-21.flac16__maroon5-2004-10-21t02.flac,coreaudio_320,1.2353,1009,kbd,1.0341,0.5358,13.7768
matisyahu2004-12-25__matisyahu2004-12-25sbdt01.flac,genuine,1.2706,319,vorbis,1.0333,0.2997,1.0000
matisyahu2004-12-25__matisyahu2004-12-25sbdt01.flac,coreaudio_128,1.3254,31,kbd,1.0311,0.8342,4.0891
matisyahu2004-12-25__matisyahu2004-12-25sbdt01.flac,coreaudio_256,1.3133,722,kbd,1.0405,0.2852,3.6631
matisyahu2004-12-25__matisyahu2004-12-25sbdt01.flac,coreaudio_320,1.3253,80,kbd,1.0407,0.3072,1.0172
matisyahu2004-12-25__matisyahu2004-12-25sbdt02.flac,genuine,1.3988,730,kbd,1.0321,0.4349,1.0000
matisyahu2004-12-25__matisyahu2004-12-25sbdt02.flac,coreaudio_128,1.1908,339,kbd,1.0343,0.8749,2.0639
matisyahu2004-12-25__matisyahu2004-12-25sbdt02.flac,coreaudio_256,1.2934,535,kbd,1.0334,0.4354,1.9835
matisyahu2004-12-25__matisyahu2004-12-25sbdt02.flac,coreaudio_320,1.2671,653,vorbis,1.0225,0.4421,1.0000
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t01.flac,genuine,1.2824,383,kbd,1.0303,0.4511,0.0000
