file_id,peak_ratio,best_offset
97e9a7f23016,1.3292,831
8a49535809c9,1.3253,1021
d398ceebdb11,1.2638,213
a8ddc2839b06,1.1584,926
e466454bf06f,1.1445,531
0b5267c776fb,1.2809,229
2207bed57624,1.2235,736
aa53af4ca50d,1.3533,460
21884d2b1cb4,1.2426,348
828070d71e73,1.1591,70
d7c678356f42,1.2588,797
b112d36b5a60,1.2892,2
754fb95cf9d0,1.2071,426
32dc09a543d9,1.1288,166
9f34b5e4a189,1.2096,54
477d12d229bf,1.253,414
b804ef77d9e9,1.2169,584
1dd069b9d543,1.1905,81
b0481f0e867e,1.3133,926
896f194e32fb,1.2143,2
72615ff713f1,1.3457,95
157738087ef8,1.1737,312
7442a6a8c80a,1.1905,389
fde87a65c015,1.1852,225
9bfd2629393c,1.2265,398
bf9408173fc1,1.2362,431
66aac1e4e4ff,1.1786,334
b803915c5818,1.2706,353
bd3c725efc7f,1.3023,969
a99b3176c339,1.2247,223
7d409c647917,1.325,346
8c1f00dde274,1.1585,41
505f935039ea,1.3095,2
f1c42628a1d9,1.3537,464
3ae5cb836793,1.1548,489
8c2b7e4cb714,1.1905,473
c1bfbaa9948f,1.2749,236
cbeaefea4d40,1.2308,655
fba843216517,1.1807,401
00c6811c0696,1.2195,287
01bb8b3f767c,1.2391,795
1c85df141d2f,1.3827,583
be2ddd0c2d89,1.2963,329
110549bfbad7,1.2189,64
d79179ce7560,1.2045,268
e4962c1365c9,1.2289,286
7623581d3183,1.1647,822
621cdba383ad,1.1951,673
d87c650901da,1.2575,920
e53a989bfc66,1.2575,34
879debfd5940,1.2805,564
e9cb4e929502,1.4643,766
a8a200ee68ee,1.2485,952
d80b287e870d,1.2976,974
ba6052977248,1.25,338
46307837c756,1.1758,265
