population,track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
genuine_wild,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t01.flac,44100,22050.0,4.773e-07,0.0,nan,711
genuine_wild,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t02.flac,44100,22050.0,1.442e-07,0.0,nan,719
genuine_wild,ToddSnider2015-01-30.mk41.skaggs.flac16__Todd Snider2015-01-30S1t03.flac,44100,20750.0,1.062e-07,555.8,nan,701
genuine_wild,ToddSnider2015-06-21.ca-14.flac16__toddSnider01.flac,44100,22050.0,6.599e-08,0.0,nan,505
genuine_wild,ToddSnider2015-06-21.ca-14.flac16__toddSnider02.flac,44100,19250.0,4.536e-08,1319.9,-23.7,548
genuine_wild,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t01.flac,44100,22050.0,4.684e-06,0.0,nan,663
genuine_wild,ToddSnider2015-10-24.schoeps.flac16__schoeps ts 10 24 15 d01 t02.flac,44100,22050.0,5.207e-06,0.0,nan,666
genuine_wild,bellarayneband2026-08-13.ca-14.flac__01-Hard To Handle.flac,96000,48000.0,7.242e-09,0.0,nan,1038
genuine_wild,bellarayneband2026-08-13.ca-14.flac__02-Stand Back.flac,96000,48000.0,1.245e-08,0.0,nan,1016
genuine_wild,bellarayneband2026-08-13.ca-14.flac__03-They Love Each Other.flac,96000,48000.0,1.836e-08,0.0,nan,981
genuine_wild,bt2026-08-11__01 Stand.flac,44100,20750.0,6.944e-07,612.8,nan,458
genuine_wild,bt2026-08-11__02 Run-Around.flac,44100,20750.0,1.543e-07,612.8,nan,434
genuine_wild,bt2026-08-11__03 Dropping Some NYC.flac,44100,20750.0,2.051e-06,563.2,nan,450
genuine_wild,bt2026-08-11__04 Keyboard Solo.flac,44100,22050.0,1.397e-06,0.0,nan,382
genuine_wild,calexico2006-07-10__Calexico_2006-07-10t01.flac,44000,20500.0,4.820e-06,0.0,-44.4,609
genuine_wild,calexico2006-07-10__Calexico_2006-07-10t02.flac,44000,20500.0,3.623e-05,0.0,-47.6,552
genuine_wild,calexico2008-11-17__Calexico_2008-11-17t01.flac,44100,22050.0,1.204e-06,0.0,nan,641
genuine_wild,calexico2008-11-17__Calexico_2008-11-17t02.flac,44100,22050.0,3.520e-06,0.0,nan,721
genuine_wild,calexico2010-02-18__Calexico_2010-02-18t01.flac,44100,22050.0,2.746e-07,0.0,nan,690
genuine_wild,calexico2010-02-18__Calexico_2010-02-18t02.flac,44100,22050.0,1.098e-06,0.0,nan,742
genuine_wild,calexico2016-07-17__Calexico_2016-07-17t01.flac,44100,22050.0,1.603e-06,0.0,nan,656
genuine_wild,calexico2016-07-17__Calexico_2016-07-17t02.flac,44100,22050.0,1.025e-06,0.0,nan,737
genuine_wild,calexico2023-11-02__Calexico_2023-11-02t01.flac,44100,22050.0,8.970e-07,0.0,nan,531
