arm,file,max_run,mean_run,max_run_rel,stereo_ratio,mono_gated
mp3_V0,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,4.0000,3.3645,4.0000,0.1423,False
mp3_V0,023-01-Yusef-Lateef-Buddy-and-lou.flac,6.0000,3.8986,4.0000,0.9390,False
mp3_V0,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,2.0000,1.0000,0.0000,3.1748,False
mp3_V0,025-07-Bolalar-Lola.flac,12.0000,6.7500,12.0000,0.2535,False
mp3_V0,026-06-Oumou-Dioubat-Siyala.flac,24.0000,11.0000,8.0000,0.3041,False
mp3_V0,027-01-Dimlite-Kitty-Cradle-Fog.flac,0.0000,0.0000,0.0000,0.2988,False
mp3_V0,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.0000,1.7127,0.0000,0.0181,False
mp3_V0,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,90.0000,21.2083,2.0000,0.6730,False
mp3_V0,030-06-S-bastien-Tellier-Benny.flac,6.0000,5.7164,26.5000,0.4614,False
mp3_V0,031-07-Shkoon-Just-Emma-Id.flac,3.5000,7.7500,1.0000,0.8203,False
mp3_V0,032-05-2kilos-more-Cache-feu.flac,10.0000,1.6202,1.0000,0.3330,False
mp3_V0,033-01-Daylight-Rising.flac,34.0000,4.4500,6.0000,0.1762,False
mp3_V0,034-09-Snow-Ghosts-Bowline.flac,2.0000,5.8000,2.0000,0.3259,False
mp3_V0,035-16-Slow-Air-In-Dropped-D.flac,9.0000,2.5885,0.0000,0.2945,False
mp3_V0,036-08-Nicolas-Comment-Amaurose.flac,5.5000,4.3125,3.0000,0.0780,False
mp3_V0,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,5.0000,1.5714,0.0000,0.0294,False
mp3_V0,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.0000,0.0000,0.0000,0.1144,False
mp3_V0,039-13-Kat-Onoma-Change-blues.flac,92.5000,2.9753,1.0000,0.2868,False
aacmf_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,nan,nan,0.0000,True
aacmf_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,0.0000,29.0417,0.0000,0.7540,False
aacmf_256,002-03-Hraach-Let-it-go.flac,3.0000,9.1123,2.0000,0.2809,False
aacmf_256,003-01-Thor-Dari-lullaby.flac,2.0000,5.8394,1.0000,0.2994,False
aacmf_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,4.0000,4.2801,7.0000,0.6770,False
aacmf_256,005-17-Los-Seven-Del-Swing-Celoso.flac,23.0000,21.2111,4.0000,0.0831,False
aacmf_256,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,nan,nan,0.0000,True
aacmf_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,0.0000,14.0667,11.0000,0.2762,False
aacmf_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,1.0000,32.3429,3.0000,0.3175,False
aacmf_256,009-03-Ilya-Beshevli-To-solitude.flac,3.0000,1.0000,0.0000,1.3325,False
aacmf_256,010-06-Jon-Hassell-These-times.flac,9.5000,1.2273,1.0000,3.0089,False
aacmf_256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,4.0000,1.0000,0.0000,1.1558,False
aacmf_256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,3.0000,12.2762,13.0000,0.6879,False
aacmf_256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.0000,0.0000,3.0000,0.0001,False
aacmf_256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,nan,nan,0.0000,True
aacmf_256,015-08-Jos-Gonz-lez-Vissel.flac,0.0000,0.0000,0.0000,0.1358,False
aacmf_256,016-03-Memory-Tapes-Green-knight.flac,3.0000,7.8824,1.0000,1.0856,False
aacmf_256,017-13-Cafe-Del-Mar-Submariner.flac,3.5000,4.2033,17.0000,0.4777,False
aacmf_256,018-04-Bag-o-wire-Resovoir.flac,nan,nan,nan,0.0000,True
aacmf_256,019-04-Kohi-Jadu.flac,9.0000,3.6667,3.0000,0.6339,False
aacmf_256,020-06-Bola-Tigantabame.flac,15.0000,13.3063,27.0000,0.0537,False
aacmf_256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,4.0000,16.3810,8.0000,0.6754,False
