orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
18,mp3_320,1,2470.7,1,0,0.0,1.0,2519.4,0.0,0.0,0.0,0.111972,0.999997,0.15652,63.46,0.1497,0
18,mp3_v0,1,2470.7,1,0,0.0,1.0,2519.4,0.0,0.0,0.0,0.112015,0.999997,0.15652,58.49,0.1657,0
19,authentic,0,2937.0,1,1,0.487668,0.3445,3273.0,3036.2,0.9276,0.02667,0.108004,0.067691,0.14,100.0,0.1458,0
19,mp3_128,1,2937.0,1,1,0.488684,0.3435,3208.4,2842.4,0.8859,0.01361,0.117515,0.074994,0.14286,100.0,0.1946,0
19,mp3_320,1,2937.0,1,1,0.487683,0.3445,3230.0,3014.6,0.9333,0.02027,0.113027,0.070848,0.14189,100.0,0.149,0
19,mp3_v0,1,2937.0,1,1,0.487525,0.3446,3186.9,2971.6,0.9324,0.0137,0.117319,0.074203,0.14384,100.0,0.1877,0
26,authentic,0,2931.6,1,1,0.317935,0.5249,1550.4,2476.3,1.5972,0.02857,0.044774,0.069635,0.24286,1.35,0.1772,0
26,mp3_128,1,2931.6,1,1,0.31755,0.5254,1528.9,2304.1,1.507,0.0,0.046135,0.070815,0.24638,18.92,0.2704,0
26,mp3_320,1,2931.6,1,1,0.317926,0.5249,1550.4,2433.3,1.5694,0.02857,0.044773,0.069622,0.24286,0.0,0.184,0
26,mp3_v0,1,2931.6,1,1,0.318036,0.5248,1528.9,2368.7,1.5493,0.0,0.045974,0.069939,0.24638,12.16,0.2774,0
27,authentic,0,3965.2,1,1,1e-06,1.0,3423.8,21727.0,6.3459,0.0,0.159872,0.514327,0.15287,45.45,0.0594,0
27,mp3_128,1,3965.2,1,1,0.0,1.0,3359.2,19229.2,5.7244,0.0,0.165222,0.664948,0.15584,72.73,0.1547,0
27,mp3_320,1,3965.2,1,1,1e-06,1.0,3402.2,19853.6,5.8354,0.0,0.161705,0.707806,0.15385,54.55,0.0612,0
27,mp3_v0,1,3965.2,1,1,1e-06,1.0,3359.2,21705.5,6.4615,0.0,0.164959,0.6915,0.15584,63.64,0.0849,0
22,authentic,0,5513.9,1,1,0.095059,0.8339,2433.3,2627.1,1.0796,0.14414,0.036452,0.081535,0.16216,19.41,0.3858,0
