idx,kind,codec,src_bucket,verdict11,verdict12
76,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
76,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
76,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
76,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
76,transcode,aac_256,10-14k,AUTHENTIC,AUTHENTIC
77,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
77,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
77,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
77,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
84,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
84,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
84,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
84,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
85,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
85,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
85,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
85,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
86,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
86,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
86,transcode,mp3_320,10-14k,AUTHENTIC,WARNING
86,transcode,mp3_v0,10-14k,WARNING,SUSPICIOUS
87,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
87,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
87,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
87,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
78,authentic,authentic,10-14k,AUTHENTIC,WARNING
78,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
78,transcode,mp3_320,10-14k,WARNING,SUSPICIOUS
78,transcode,mp3_v0,10-14k,AUTHENTIC,WARNING
79,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
79,transcode,mp3_128,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
79,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
79,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
92,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
92,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
92,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
92,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
93,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
93,transcode,mp3_128,10-14k,AUTHENTIC,WARNING
93,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
93,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
90,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
90,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
90,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
90,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
91,authentic,authentic,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
91,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
91,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
91,transcode,mp3_v0,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
94,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
94,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
94,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
94,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
95,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
95,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
95,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
95,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
100,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
100,transcode,mp3_128,>=14k,FAKE_CERTAIN,FAKE_CERTAIN
100,transcode,mp3_320,>=14k,FAKE_CERTAIN,FAKE_CERTAIN
100,transcode,mp3_v0,>=14k,AUTHENTIC,AUTHENTIC
101,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
101,transcode,mp3_128,>=14k,WARNING,SUSPICIOUS
101,transcode,mp3_320,>=14k,AUTHENTIC,AUTHENTIC
101,transcode,mp3_v0,>=14k,AUTHENTIC,AUTHENTIC
88,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
88,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
88,transcode,mp3_320,10-14k,FAKE_CERTAIN,FAKE_CERTAIN
88,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
89,authentic,authentic,10-14k,AUTHENTIC,AUTHENTIC
89,transcode,mp3_128,10-14k,WARNING,SUSPICIOUS
89,transcode,mp3_320,10-14k,AUTHENTIC,AUTHENTIC
89,transcode,mp3_v0,10-14k,AUTHENTIC,AUTHENTIC
98,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
98,transcode,mp3_128,>=14k,WARNING,SUSPICIOUS
98,transcode,mp3_320,>=14k,FAKE_CERTAIN,FAKE_CERTAIN
98,transcode,mp3_v0,>=14k,AUTHENTIC,AUTHENTIC
99,authentic,authentic,>=14k,AUTHENTIC,AUTHENTIC
99,transcode,mp3_128,>=14k,WARNING,SUSPICIOUS
