slug,label,codec,window,peak_ratio,best_offset
049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr,1,aac_ff128,kbd,17.6737,1020
050-08-Boubacar-Traor-Pierrette,1,aac_ff128,kbd,18.8429,1020
051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat,1,aac_ff128,kbd,23.866,1020
052-06-Papa-Wemba-Efeka-mandundu,1,aac_ff128,kbd,41.7126,1020
053-03-Jupiter-Okwess-Ofakombolo,1,aac_ff128,kbd,32.0546,1020
054-10-George-Bruns-Two-dogs-and-a-cycle,1,aac_ff128,kbd,29.6,1020
055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi,1,aac_ff128,kbd,23.0,1020
056-14-Hlamalani,1,aac_ff128,kbd,20.3416,1020
057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois,1,aac_ff128,kbd,21.9545,1020
058-01-Piny-Runa-Woko,1,aac_ff128,kbd,17.1266,1020
059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu,1,aac_ff128,kbd,40.3886,1020
060-13-Naomi-The-Boys-Bad-loser,1,aac_ff128,kbd,11.1643,1020
061-07-Black-Truth-Rhythm-Band-Imo,1,aac_ff128,kbd,17.5025,1020
062-03-Alpha-Blondy-Jah-glory,1,aac_ff128,kbd,16.7292,1020
063-09-Rodolphe-Burger-Billy-the-kid,1,aac_ff128,kbd,5.7,1020
064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo,1,aac_ff128,kbd,14.0,1020
065-05-Quizas-Quizas,1,aac_ff128,kbd,6.1681,1020
066-04-Etoile-de-Dakar-My-wa-wa,1,aac_ff128,kbd,25.0194,1020
067-03-The-Streets-Let-s-push-things-forward,1,aac_ff128,kbd,10.3217,1020
068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate,1,aac_ff128,kbd,16.5776,1020
069-02-Eden-Ahbez-The-wanderer,1,aac_ff128,kbd,17.5895,1020
070-02-Guts-Good-morning,1,aac_ff128,kbd,20.5622,1020
071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja,1,aac_ff128,kbd,19.345,1020
072-05-Simo-Moumen-Samsara,1,aac_ff128,kbd,15.4733,1020
073-10-Vanilla-Fudge-Eleanor-rigby,1,aac_ff128,kbd,31.4182,1020
074-09-Koki-Nakano-Lift,1,aac_ff128,kbd,6.8317,1020
075-03-Jordi-Savall-El-rey-de-francia-esmirna,1,aac_ff128,kbd,7.4198,1020
076-20-Fran-ois-Couperin-O-salutaris,1,aac_ff128,kbd,3.5909,1020
077-01-Jaga-Jazzist-All-i-know-is-tonight,1,aac_ff128,kbd,25.9011,1020
078-04-Kat-Onoma-La-chambre,1,aac_ff128,kbd,14.36,1020
079-04-Gwen-McCrae-Let-s-straighten-it-out,1,aac_ff128,kbd,32.2266,1020
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout,1,aac_ff256,kbd,10.4815,1020
001-11-Gilbert-B-caud-Le-bain-de-minuit,1,aac_ff256,kbd,28.4409,1020
002-03-Hraach-Let-it-go,1,aac_ff256,kbd,18.9012,1020
003-01-Thor-Dari-lullaby,1,aac_ff256,kbd,26.6667,1020
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye,1,aac_ff256,kbd,20.1515,1020
005-17-Los-Seven-Del-Swing-Celoso,1,aac_ff256,kbd,27.6744,1020
006-09-Mahmoud-Ahmed-Tezeta,1,aac_ff256,kbd,12.3114,1020
007-07-Wax-Tailor-Positively-inclined-featuring-main,1,aac_ff256,kbd,24.8488,1020
008-06-The-Mebusas-Mr-bull-dog-original-45-version,1,aac_ff256,kbd,27.6763,1020
009-03-Ilya-Beshevli-To-solitude,1,aac_ff256,kbd,8.9691,1020
010-06-Jon-Hassell-These-times,1,aac_ff256,kbd,22.0471,1020
011-07-Ensemble-National-des-Percussions-de-Guin-e-K,1,aac_ff256,kbd,8.8953,1020
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro,1,aac_ff256,kbd,9.7455,1020
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary,1,aac_ff256,kbd,17.1628,1020
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool,1,aac_ff256,kbd,5.8683,1020
015-08-Jos-Gonz-lez-Vissel,1,aac_ff256,kbd,20.5301,1020
016-03-Memory-Tapes-Green-knight,1,aac_ff256,kbd,30.2619,1020
017-13-Cafe-Del-Mar-Submariner,1,aac_ff256,kbd,27.1071,1020
018-04-Bag-o-wire-Resovoir,1,aac_ff256,kbd,6.3713,1020
019-04-Kohi-Jadu,1,aac_ff256,kbd,27.0058,1020
020-06-Bola-Tigantabame,1,aac_ff256,kbd,16.0226,1020
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc,1,aac_ff256,kbd,25.2857,508
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas,1,aac_ff256,kbd,26.3979,1020
023-01-Yusef-Lateef-Buddy-and-lou,1,aac_ff256,kbd,24.4068,1020
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue,1,aac_ff256,kbd,12.4729,1020
025-07-Bolalar-Lola,1,aac_ff256,kbd,20.5119,1020
026-06-Oumou-Dioubat-Siyala,1,aac_ff256,kbd,28.4713,1020
027-01-Dimlite-Kitty-Cradle-Fog,1,aac_ff256,kbd,24.2824,1020
028-04-Lisu-Yue-phue-alcool-de-ma-s,1,aac_ff256,kbd,5.1529,1020
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul,1,aac_ff256,kbd,22.3933,1020
030-06-S-bastien-Tellier-Benny,1,aac_ff256,kbd,29.314,1020
031-07-Shkoon-Just-Emma-Id,1,aac_ff256,kbd,4.982,1020
032-05-2kilos-more-Cache-feu,1,aac_ff256,kbd,29.2749,1020
033-01-Daylight-Rising,1,aac_ff256,kbd,30.2472,1020
034-09-Snow-Ghosts-Bowline,1,aac_ff256,kbd,23.2619,1020
035-16-Slow-Air-In-Dropped-D,1,aac_ff256,kbd,10.4541,1020
036-08-Nicolas-Comment-Amaurose,1,aac_ff256,kbd,17.9281,1020
037-02-Super-Cayor-De-Dakar-Emboutaieillage,1,aac_ff256,kbd,12.5614,1020
038-11-Red-Hot-Chili-Peppers-This-velvet-glove,1,aac_ff256,kbd,29.1954,1020
039-13-Kat-Onoma-Change-blues,1,aac_ff256,kbd,31.6235,1020
040-11-Xploding-Plastix-Far-flung-tonic,1,aac_ff256,kbd,26.3837,1020
041-07-Mondkopf-Summer-afternoon-on-the-carribean-se,1,aac_ff256,kbd,1.2069,941
042-04-Keletigui-et-ses-Tambourinis-Nadia,1,aac_ff256,kbd,9.0888,1020
043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr,1,aac_ff256,kbd,34.9767,1020
044-02-Various-Artists-Ka-mea-mea,1,aac_ff256,kbd,16.7701,1020
045-08-DJ-Katapila-Trotro-instrumental,1,aac_ff256,kbd,14.5783,1020
046-04-Clelia-Felix-Shine-so-bright,1,aac_ff256,kbd,23.6836,1020
047-03-Lemma-Souad-Asla-Maachouk-Nbi,1,aac_ff256,kbd,27.1059,1020
048-08-Gabriel-Romero-La-Piragua,1,aac_ff256,kbd,23.2262,1020
049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr,1,aac_ff256,kbd,20.5682,1020
050-08-Boubacar-Traor-Pierrette,1,aac_ff256,kbd,20.4941,1020
051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat,1,aac_ff256,kbd,22.0,1020
052-06-Papa-Wemba-Efeka-mandundu,1,aac_ff256,kbd,15.8214,1020
053-03-Jupiter-Okwess-Ofakombolo,1,aac_ff256,kbd,28.2317,1020
054-10-George-Bruns-Two-dogs-and-a-cycle,1,aac_ff256,kbd,21.0621,1020
055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi,1,aac_ff256,kbd,32.4588,1020
056-14-Hlamalani,1,aac_ff256,kbd,29.1333,1020
057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois,1,aac_ff256,kbd,17.7605,1020
058-01-Piny-Runa-Woko,1,aac_ff256,kbd,25.5556,1020
059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu,1,aac_ff256,kbd,21.1395,1020
060-13-Naomi-The-Boys-Bad-loser,1,aac_ff256,kbd,30.7182,1020
061-07-Black-Truth-Rhythm-Band-Imo,1,aac_ff256,kbd,20.1117,1020
062-03-Alpha-Blondy-Jah-glory,1,aac_ff256,kbd,14.7176,1020
063-09-Rodolphe-Burger-Billy-the-kid,1,aac_ff256,kbd,15.0787,1020
064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo,1,aac_ff256,kbd,22.4157,1020
065-05-Quizas-Quizas,1,aac_ff256,kbd,24.7778,1020
066-04-Etoile-de-Dakar-My-wa-wa,1,aac_ff256,kbd,21.6353,1020
067-03-The-Streets-Let-s-push-things-forward,1,aac_ff256,kbd,29.8497,1020
068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate,1,aac_ff256,kbd,19.8161,1020
069-02-Eden-Ahbez-The-wanderer,1,aac_ff256,kbd,17.0345,1020
070-02-Guts-Good-morning,1,aac_ff256,kbd,21.3846,1020
071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja,1,aac_ff256,kbd,21.0947,1020
072-05-Simo-Moumen-Samsara,1,aac_ff256,kbd,29.883,1020
073-10-Vanilla-Fudge-Eleanor-rigby,1,aac_ff256,kbd,7.7037,1020
074-09-Koki-Nakano-Lift,1,aac_ff256,kbd,24.5484,1020
075-03-Jordi-Savall-El-rey-de-francia-esmirna,1,aac_ff256,kbd,15.8132,1020
076-20-Fran-ois-Couperin-O-salutaris,1,aac_ff256,kbd,9.8214,1020
077-01-Jaga-Jazzist-All-i-know-is-tonight,1,aac_ff256,kbd,35.5904,1020
078-04-Kat-Onoma-La-chambre,1,aac_ff256,kbd,14.8795,1020
079-04-Gwen-McCrae-Let-s-straighten-it-out,1,aac_ff256,kbd,29.5314,1020
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout,1,aac_ff320,kbd,9.8214,1020
001-11-Gilbert-B-caud-Le-bain-de-minuit,1,aac_ff320,kbd,24.2989,1020
002-03-Hraach-Let-it-go,1,aac_ff320,kbd,12.75,1020
003-01-Thor-Dari-lullaby,1,aac_ff320,kbd,12.838,1020
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye,1,aac_ff320,kbd,15.1061,1020
005-17-Los-Seven-Del-Swing-Celoso,1,aac_ff320,kbd,14.1951,1020
006-09-Mahmoud-Ahmed-Tezeta,1,aac_ff320,kbd,12.3837,1020
007-07-Wax-Tailor-Positively-inclined-featuring-main,1,aac_ff320,kbd,14.0235,1020
008-06-The-Mebusas-Mr-bull-dog-original-45-version,1,aac_ff320,kbd,15.9048,1020
009-03-Ilya-Beshevli-To-solitude,1,aac_ff320,kbd,8.3511,1020
010-06-Jon-Hassell-These-times,1,aac_ff320,kbd,19.1786,1020
011-07-Ensemble-National-des-Percussions-de-Guin-e-K,1,aac_ff320,kbd,7.2326,1020
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro,1,aac_ff320,kbd,4.9375,1020
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary,1,aac_ff320,kbd,17.6977,1020
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool,1,aac_ff320,kbd,7.9878,1020
015-08-Jos-Gonz-lez-Vissel,1,aac_ff320,kbd,16.5455,1020
016-03-Memory-Tapes-Green-knight,1,aac_ff320,kbd,17.3571,1020
017-13-Cafe-Del-Mar-Submariner,1,aac_ff320,kbd,14.9759,1020
018-04-Bag-o-wire-Resovoir,1,aac_ff320,kbd,7.9273,1020
019-04-Kohi-Jadu,1,aac_ff320,kbd,19.2048,1020
020-06-Bola-Tigantabame,1,aac_ff320,kbd,9.0111,1020
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc,1,aac_ff320,kbd,11.6463,508
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas,1,aac_ff320,kbd,21.1512,1020
023-01-Yusef-Lateef-Buddy-and-lou,1,aac_ff320,kbd,12.7746,1020
024-15-Jordi-Savall-Concert-li-la-rougeville-gigue,1,aac_ff320,kbd,12.8947,1020
025-07-Bolalar-Lola,1,aac_ff320,kbd,13.378,1020
026-06-Oumou-Dioubat-Siyala,1,aac_ff320,kbd,15.6588,1020
027-01-Dimlite-Kitty-Cradle-Fog,1,aac_ff320,kbd,11.1698,1020
028-04-Lisu-Yue-phue-alcool-de-ma-s,1,aac_ff320,kbd,4.3353,1020
029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul,1,aac_ff320,kbd,16.2273,1020
