path_hash,source,ratio_max,cutoff,admitted
4b34bb4d970a05e0,library,1.3766,21250.0,1
4b6a6d0e10e24058,library,1.3049,22050.0,1
4bbcf0f4bd288368,library,1.2561,22050.0,1
4c1e4ec1217d3f1a,library,1.3049,22050.0,1
4c6481012f6e064c,library,1.3054,22050.0,1
4c77d9e888901b23,library,1.3049,22050.0,1
4ca625891aa0b3ad,library,1.3483,22050.0,1
4d2c663e37caba59,library,1.2000,21250.0,1
4d2e1e3de669ad95,library,1.2934,20250.0,1
4d4983940e282f98,library,1.2529,22050.0,1
4d5c30ad2d8789a2,library,1.3494,19500.0,1
4d5c9fc0b669e0e7,library,1.4557,22050.0,1
4dd9e9ab7088e3ae,library,1.1860,21500.0,1
4dfee77420abe7fb,library,1.2472,20000.0,1
4edf20b1246b7705,library,1.3012,22050.0,1
4ee550a43ff85d07,library,1.2593,22050.0,1
4f161e673d48f32c,library,1.3457,22050.0,1
4f2ba97222678378,library,1.3174,19500.0,1
4f3fdb089ae38197,library,1.2761,18750.0,1
5007b7f072d66ec5,library,1.2289,22050.0,1
519eabde8ecb7526,library,1.2073,19750.0,1
51c9c206d31a4b6b,library,1.2262,21000.0,1
537224edf13862a0,library,1.3049,20250.0,1
53a83692e79be312,library,1.2840,22050.0,1
53fb5b564d756eeb,library,1.2680,19000.0,1
544d9afdc19a14c4,library,1.2455,22050.0,1
5483937ffdfa3f0a,library,1.2135,19500.0,1
54bf31f0241b1f76,library,1.3250,22050.0,1
54c5b3fde196f211,library,1.3780,22050.0,1
54e4ae45800ba094,library,1.2771,21500.0,1
54fd438e3e7a60d7,library,1.2229,20500.0,1
54ff4bb12f2f7310,library,1.3718,22050.0,1
555eb69f451a9bf2,library,1.3086,22050.0,1
55663aef5fa18ba8,library,1.1786,22050.0,1
55dce8aa9211f661,library,1.2842,21250.0,1
567981c044ddfe2a,library,1.2381,22050.0,1
5693830051ee7d3c,library,1.2805,18250.0,1
56f4f37d32fc312a,library,1.3418,20750.0,1
571dc187be914f48,library,1.2987,22050.0,1
5734531bb5518621,library,1.3620,22050.0,1
577e8f0135caee3a,library,1.2299,22050.0,1
5799828e9e891e33,library,1.3418,22050.0,1
586ca7ef666551d6,library,1.3413,22050.0,1
591a07e887761a1d,library,1.3483,22050.0,1
592293e02b8054b2,library,1.3171,20750.0,1
592570b81370f2ae,library,1.2784,20500.0,1
5940112c3cdf8642,library,1.1707,22050.0,1
595eee962c8f0160,library,1.2075,22050.0,1
59704190cfea78e6,library,1.2088,21500.0,1
599f78eaa2af25b8,library,1.2830,22050.0,1
59d436ef0db99551,library,1.1779,20000.0,1
5b9fc3bba49a8ea1,library,1.2695,22050.0,1
5da637ed85d36406,library,1.2381,21250.0,1
5dbe3c60a8b46743,library,1.3544,20000.0,1
5e4c59862c1c80f3,library,1.3827,22050.0,1
5e9d8d20b48cc7e0,library,1.2544,22050.0,1
5f4b09ccb839ee21,library,1.2561,21250.0,1
5f59f73495206f4e,library,1.3214,22050.0,1
5f87e69a21666f96,library,2.4179,19500.0,1
5fb5860a6f1e366c,library,1.2716,20000.0,1
604b67906574566b,library,1.3140,19000.0,1
609ad1a06bca142b,library,1.2632,22050.0,1
60dba8deb05b5a5c,library,1.2750,21500.0,1
60eb4a6cae6c1b90,library,1.2686,22050.0,1
61329ac198fb3f8f,library,1.2626,22050.0,1
61671e496e481f55,library,1.3212,22050.0,1
618354f1195473f0,library,1.2739,22050.0,1
61cf709a1e27bdd0,library,1.2000,20500.0,1
6296d38ec60ab127,library,1.2375,22050.0,1
6296e7edab515c4b,library,1.4795,48000.0,1
62977994ebefa8b7,library,1.3497,22050.0,1
632c143ecc0cbfc2,library,1.3865,22050.0,1
636854dd15b985fb,library,1.2716,22050.0,1
636d9085cc2dc077,library,1.2500,22050.0,1
63e0568bcff58bd7,library,1.3780,22050.0,1
6431488f43817e7a,library,1.2821,22050.0,1
6483158b321d0bed,library,1.3580,21750.0,1
64abb09667f159e2,library,1.2131,22050.0,1
64c7d973232aa887,library,1.2532,21500.0,1
65709551d6cc5abd,library,1.2284,22050.0,1
6617e26078efc3b1,library,1.1807,21750.0,1
664ca4f8ac8b1a9d,library,1.2738,22050.0,1
665bc01a0dc96462,library,1.2370,21750.0,1
668355fa7c2ece08,library,1.2697,22050.0,1
670d2a816dec35dd,library,1.2469,22050.0,1
67b3a3c952645ae9,library,1.2422,22050.0,1
68120e26cce1254d,library,1.2289,16750.0,0
68e9e283a4e5b527,library,1.2090,22050.0,1
695824e9bd5389db,library,1.2976,22050.0,1
69817d140cf6de78,library,1.3174,22050.0,1
69dff314f634a505,library,1.2308,22050.0,1
6a42b1a49d14fcfa,library,1.2318,22050.0,1
6aef4128da13d8a9,library,1.2118,22050.0,1
6b3f6f99de5ef60c,library,1.2357,21250.0,1
6b5ecc18fecf6c4d,library,1.2934,21500.0,1
6bdce6273fa412ad,library,1.2131,22050.0,1
6c53a57a67a52d4e,library,1.2727,22050.0,1
6d4d3d7a7fab9e9a,library,1.1975,19250.0,1
6e2c38cf853bcdda,library,1.2738,22050.0,1
6e9206e9d29613e1,library,1.2637,22050.0,1
6efccb2a8ab7e3c2,library,1.2549,22050.0,1
6f781951692941d0,library,1.2571,22050.0,1
7024581440d03c79,library,1.3026,22050.0,1
707753e3f10bdfc2,library,1.2121,22050.0,1
712708ef6e8f4b75,library,1.2530,22050.0,1
712b5b10450edcd3,library,1.2927,21000.0,1
716163a53d001d9e,library,1.3165,20500.0,1
71de87a20edc0e44,library,1.1572,20750.0,1
723239b7e64afac4,library,1.3620,21750.0,1
725f87ad43b8dec4,library,1.3488,22050.0,1
729513dc1dd1fc48,library,1.2073,21000.0,1
733f4a68377b83a9,library,1.2785,19750.0,1
73652f0d7607fe18,library,1.2308,20000.0,1
7376eec709aac2f7,library,1.3218,20500.0,1
73bc962d57740bfd,library,1.2250,22050.0,1
73cd09e7473e4d70,library,1.2469,22050.0,1
73e925e382767826,library,1.3750,22050.0,1
742006a891a2044e,library,1.2892,20500.0,1
74a8c3a4137b14b6,library,1.3171,22050.0,1
74d9f747f8f9aa0a,library,1.2414,22050.0,1
751444d22d6a91b5,library,1.2439,22050.0,1
7558f7e64e9d8825,library,1.2184,22050.0,1
756958084d711879,library,1.1951,21500.0,1
76096950f053d8bc,library,1.3000,18500.0,1
763cce4b9dded9eb,library,1.2250,22050.0,1
76801b3950decfe7,library,1.4691,22050.0,1
7686d6bd5708fac8,library,1.1852,21250.0,1
7688b830ce790a85,library,1.2923,16000.0,0
7699c71f5cd45511,library,1.2048,21750.0,1
77998dda253dd629,library,1.2299,22050.0,1
779f6b02cfa28d64,library,1.3252,15500.0,0
77a0542ef87dfc14,library,1.2073,22050.0,1
78088166ae1e63d9,library,1.2093,21000.0,1
782b9deb67a4634c,library,1.1879,22050.0,1
787b30c9336d6788,library,1.1975,21750.0,1
7886dcfff2d687f6,library,1.2500,22050.0,1
78affdc232054b56,library,1.2198,20250.0,1
78dc8cb45de9f75c,library,1.2118,22050.0,1
79a8f9115e96fe89,library,1.3029,22050.0,1
79b50358aed520f9,library,1.2485,22050.0,1
79c1b38772613a64,library,1.3684,21500.0,1
79fd86f54a2e83f3,library,1.2716,22050.0,1
7b8aaf785355c8ae,library,1.3735,22050.0,1
7d1f72628569a69c,library,1.2375,22050.0,1
7d409c647917da9e,library,1.2073,22050.0,1
7d8a517e30aa20ed,library,1.2547,21250.0,1
7dd8b8fefd0a20ce,library,1.2588,22050.0,1
7e6afce9f6788580,library,1.3176,22050.0,1
7eb2609c63087cf5,library,1.1950,22050.0,1
7f9a61dbef0418da,library,1.3250,21500.0,1
7fb0accf42527e28,library,1.2976,19500.0,1
7ffd42c121d6d6d4,library,1.3296,22050.0,1
8061ecfcca1ba24c,library,1.2970,20000.0,1
80f06d08fd912b65,library,1.2405,22050.0,1
810b6704173a3a7a,library,1.3457,22050.0,1
8113a1126618f864,library,1.1975,22050.0,1
8198de6f835f9e09,library,1.2048,21500.0,1
81abf18c0541a696,library,1.2865,20750.0,1
8226cd597bda42c8,library,1.1882,21250.0,1
823d2c6d8922b3b3,library,1.3290,22050.0,1
8267f850e1f6bad6,library,1.2404,22050.0,1
82a832559ec2adf1,library,1.2500,21250.0,1
82b973ce4aca515a,library,1.2410,22050.0,1
8309f292c2366f96,library,1.2527,18000.0,1
8335d78710f3f9d0,library,1.3250,20250.0,1
83395108241f7d8a,library,1.2771,22050.0,1
839e1b8b045c979a,library,1.2289,21500.0,1
847ec4a22bcc368e,library,1.3012,22050.0,1
84ced8bba942eec9,library,1.1847,22050.0,1
850b4cb8179a379f,library,1.2235,22050.0,1
85489c0959d245ab,library,1.4088,22050.0,1
8574dbf08989e996,library,1.2892,22050.0,1
85af13cceb4df99a,library,1.2683,22050.0,1
85e471375a84107d,library,1.4103,20750.0,1
8614f6f5ec9eb56c,library,1.3043,22050.0,1
86500375f37b32d9,library,1.2093,21250.0,1
865f605a358674cf,library,1.2809,22050.0,1
869205a5f622a918,library,1.2987,22050.0,1
872d6d0e67dfe612,library,1.2398,21750.0,1
87539968dbe9316f,library,1.3483,22050.0,1
87b1b1aa617c58d5,library,1.4556,21250.0,1
87eb0e6a56e5102b,library,1.3291,21250.0,1
898ae76c05d58de7,library,1.2927,21750.0,1
89ecaf250d6e29fd,library,1.2471,22050.0,1
8a1b99615fc2c2a3,library,1.3216,22050.0,1
8a2880f5ab281df4,library,1.2189,21750.0,1
8aa37f72c8eba3bf,library,1.3295,22050.0,1
8ab11524daa5a1f2,library,1.2795,22050.0,1
8b537c68477af206,library,1.2387,21750.0,1
8b543e44135931f8,library,1.2398,21500.0,1
8b70816f176f13a5,library,1.2706,20500.0,1
8bfb4677a2cab6a8,library,1.3544,22050.0,1
8c62c480f45fd5f5,library,1.2022,20750.0,1
8c868d3face89ff3,library,1.2335,22050.0,1
8c932ff3d316b87d,library,1.2532,21250.0,1
8cf549814513cc2a,library,1.2375,22050.0,1
8df44fa567ffd0cd,library,1.3875,21250.0,1
8df91456c339997d,library,1.2455,22050.0,1
8ef3a18b281e6898,library,1.2982,20000.0,1
8f3e1862db76b007,library,1.2674,22050.0,1
8f44843a599940af,library,1.2381,21000.0,1
8fba9318f69c8cba,library,1.2899,21250.0,1
903c38e26c89ada3,library,1.2619,21750.0,1
909d4e1cd8651d9f,library,1.3091,20750.0,1
90be231903db19af,library,1.1795,22050.0,1
90f70c543b480110,library,1.2174,22050.0,1
913926c648c78535,library,1.3765,22050.0,1
91aa1165618ee49f,library,1.2919,22050.0,1
925b3ecc25159e17,library,1.1881,20500.0,1
92bb0ecc941abfdf,library,1.2561,22050.0,1
9311d7eba6638938,library,1.2561,22050.0,1
9358b3a268bb3335,library,1.3253,21500.0,1
93a8bd9fcfaf15bb,library,1.2875,21750.0,1
940be6c291f485bb,library,1.2439,21000.0,1
94b2ef2dc0518e78,library,1.2216,20750.0,1
94ce2391b151b5d4,library,1.2326,22050.0,1
952ffce79c7dd7b8,library,1.2593,22050.0,1
9587da78ef767683,library,1.2683,22050.0,1
958f93dfcf9f5292,library,1.1895,16000.0,0
95b9c4a9d4636133,library,1.3678,22050.0,1
95d78950df24af55,library,1.3171,22050.0,1
96211598361d2655,library,1.3793,22050.0,1
964c50610d2ab37e,library,1.2919,20750.0,1
964e6167e3f2974f,library,1.1728,22050.0,1
96d33e2d0ee45ca8,library,1.2455,22050.0,1
96ee0e8882319fbd,library,1.1667,22050.0,1
